question_id,category,question_text,question_shape,source,shape_source,in_stability_subsample
Q0001,AI business intelligence software,What AI BI tools are best for reducing dependency on data analysts when business stakeholders need ad hoc reporting?,best-of,question_bank,vol1_labelled,True
Q0002,AI business intelligence software,What are the best Looker alternatives for companies that want conversational analytics?,alternatives,question_bank,regenerated_label,False
Q0003,AI business intelligence software,Omni vs ThoughtSpot: which AI BI tool is better for mid-market companies?,comparison,question_bank,vol1_labelled,False
Q0004,AI business intelligence software,How can AI business intelligence software help reduce reliance on data analysts for reporting?,use-case,question_bank,vol1_labelled,False
Q0005,AI business intelligence software,How do I evaluate and compare AI business intelligence platforms for a mid-market or enterprise company?,evaluation,question_bank,vol1_labelled,False
Q0006,AI business intelligence software,What AI BI tools work best for connecting natural language queries to cloud data warehouses?,best-of,question_bank,vol1_labelled,False
Q0007,AI business intelligence software,What are the best Tableau Pulse alternatives for automated data insights?,alternatives,question_bank,vol1_labelled,False
Q0008,B2B marketing analytics software,What are the best marketing analytics platforms for measuring B2B pipeline attribution?,best-of,question_bank,vol1_labelled,False
Q0009,B2B marketing analytics software,What are the best alternatives to 6sense for B2B marketing analytics and attribution?,alternatives,question_bank,vol1_labelled,False
Q0010,B2B marketing analytics software,6sense vs Demandbase: which is better for B2B marketing analytics and account intelligence?,comparison,question_bank,vol1_labelled,False
Q0011,B2B marketing analytics software,How can B2B marketing teams use analytics software to prove ROI across paid and organic channels?,use-case,question_bank,vol1_labelled,False
Q0012,B2B marketing analytics software,How much does B2B marketing analytics and attribution software typically cost and what should I evaluate before buying?,evaluation,question_bank,vol1_labelled,False
Q0013,B2B marketing analytics software,What is the best B2B marketing analytics software for enterprise demand generation teams?,best-of,question_bank,vol1_labelled,True
Q0014,B2B marketing analytics software,What are the top Demandbase alternatives for B2B revenue and pipeline analytics?,alternatives,question_bank,vol1_labelled,False
Q0015,B2B marketing attribution software,What is the best B2B marketing attribution software for enterprise SaaS companies?,best-of,question_bank,regenerated_label,False
Q0016,B2B marketing attribution software,What are the best Bizible alternatives for Salesforce users?,alternatives,question_bank,regenerated_label,False
Q0017,B2B marketing attribution software,6sense vs Dreamdata: which is better for B2B pipeline attribution?,comparison,question_bank,vol1_labelled,False
Q0018,B2B marketing attribution software,How can B2B marketing attribution software help me prove ROI on paid media campaigns?,use-case,question_bank,vol1_labelled,False
Q0019,B2B marketing attribution software,How much does B2B marketing attribution software typically cost and what should I evaluate before buying?,evaluation,question_bank,regenerated_label,False
Q0020,B2B marketing attribution software,What is the best marketing attribution platform for account-based marketing?,best-of,question_bank,regenerated_label,False
Q0021,B2B marketing attribution software,What are the best alternatives to 6sense for B2B marketing attribution?,alternatives,question_bank,regenerated_label,False
Q0022,CDP / analytics,What CDP solution is best for a European company that needs to keep all customer data within EU borders for compliance?,best-of,question_bank,regenerated_label,False
